participant_id,frame,question,main,follow_up,choice,evaluation
197,gain,Disease,True,,0,54
197,gain,Unemployment,True,,1,43
197,gain,Painting,True,,0,57
197,gain,Virus,True,,1,46
198,gain,Disease,True,,0,39
198,gain,Unemployment,True,,1,69
198,gain,Painting,True,,1,69
198,gain,Virus,True,,1,76
199,loss,Disease,True,,1,70
199,loss,Unemployment,True,,0,88
199,loss,Painting,True,,1,89
199,loss,Virus,True,,1,68
203,loss,Disease,True,,2,55
203,loss,Disease,,True,1,70
203,loss,Unemployment,True,,0,60
203,loss,Painting,True,,2,57
203,loss,Painting,,True,1,60
203,loss,Virus,True,,1,65
205,loss,Disease,True,,1,100
205,loss,Unemployment,True,,0,98
205,loss,Painting,True,,2,100
205,loss,Painting,,True,1,100
205,loss,Virus,True,,1,100
206,gain,Disease,True,,0,61
206,gain,Unemployment,True,,1,80
206,gain,Painting,True,,2,100
206,gain,Painting,,True,1,89
206,gain,Virus,True,,0,61
208,loss,Disease,True,,1,20
208,loss,Unemployment,True,,0,70
208,loss,Painting,True,,0,30
208,loss,Virus,True,,1,30
211,loss,Disease,True,,1,89
211,loss,Unemployment,True,,0,79
211,loss,Painting,True,,2,48
211,loss,Painting,,True,0,38
211,loss,Virus,True,,1,24
212,loss,Disease,True,,2,78
212,loss,Disease,,True,1,69
212,loss,Unemployment,True,,0,99
212,loss,Painting,True,,1,81
212,loss,Virus,True,,1,71
213,loss,Disease,True,,1,40
213,loss,Unemployment,True,,0,60
213,loss,Painting,True,,2,30
213,loss,Painting,,True,0,30
213,loss,Virus,True,,1,35
214,gain,Disease,True,,0,80
214,gain,Unemployment,True,,1,60
214,gain,Painting,True,,0,80
214,gain,Virus,True,,0,80
219,loss,Disease,True,,1,21
219,loss,Unemployment,True,,0,80
219,loss,Painting,True,,1,35
219,loss,Virus,True,,1,35
220,gain,Disease,True,,0,28
220,gain,Unemployment,True,,1,50
220,gain,Painting,True,,0,38
220,gain,Virus,True,,2,25
220,gain,Virus,,True,1,36
224,loss,Disease,True,,1,60
224,loss,Unemployment,True,,0,90
224,loss,Painting,True,,1,60
224,loss,Virus,True,,0,40
225,gain,Disease,True,,0,70
225,gain,Unemployment,True,,1,50
225,gain,Painting,True,,1,55
225,gain,Virus,True,,0,45
226,gain,Disease,True,,0,80
226,gain,Unemployment,True,,1,91
226,gain,Painting,True,,0,79
226,gain,Virus,True,,2,80
226,gain,Virus,,True,1,70
228,loss,Disease,True,,0,34
228,loss,Unemployment,True,,0,89
228,loss,Painting,True,,0,43
228,loss,Virus,True,,1,45
231,gain,Disease,True,,0,70
231,gain,Unemployment,True,,1,70
231,gain,Painting,True,,0,65
231,gain,Virus,True,,0,65
235,loss,Disease,True,,1,33
235,loss,Unemployment,True,,0,73
235,loss,Painting,True,,2,15
235,loss,Painting,,True,1,61
235,loss,Virus,True,,1,61
237,loss,Disease,True,,1,24
237,loss,Unemployment,True,,0,100
237,loss,Painting,True,,1,31
237,loss,Virus,True,,1,44
240,loss,Disease,True,,0,60
